PS C:\Users\pdaniel\OfflineHub_wustl\GitHubTown\chargeRateWidget> python .\charge_rate_widget.py
Monitoring battery. Press Ctrl+C to stop.

[2025-06-16 16:38:51] Discharging | Rate: 0 mW | Remaining: 46592 mWh | Voltage: 12365 mV
[2025-06-16 16:38:56] Discharging | Rate: 0 mW | Remaining: 46387 mWh | Voltage: 12357 mV
[2025-06-16 16:39:01] Discharging | Rate: 0 mW | Remaining: 46387 mWh | Voltage: 12357 mV
[2025-06-16 16:39:06] Discharging | Rate: 0 mW | Remaining: 46387 mWh | Voltage: 12357 mV
[2025-06-16 16:39:11] Discharging | Rate: 0 mW | Remaining: 46387 mWh | Voltage: 12357 mV
[2025-06-16 16:39:16] Discharging | Rate: 0 mW | Remaining: 46387 mWh | Voltage: 12357 mV
[2025-06-16 16:39:21] Discharging | Rate: 0 mW | Remaining: 46387 mWh | Voltage: 12357 mV
[2025-06-16 16:39:26] Discharging | Rate: 0 mW | Remaining: 46387 mWh | Voltage: 12357 mV
[2025-06-16 16:39:31] Discharging | Rate: 0 mW | Remaining: 46273 mWh | Voltage: 12371 mV
[2025-06-16 16:39:36] Discharging | Rate: 0 mW | Remaining: 46261 mWh | Voltage: 12394 mV
[2025-06-16 16:39:41] Discharging | Rate: 0 mW | Remaining: 46261 mWh | Voltage: 12394 mV
[2025-06-16 16:39:46] Discharging | Rate: 0 mW | Remaining: 46261 mWh | Voltage: 12394 mV
[2025-06-16 16:39:51] Discharging | Rate: 0 mW | Remaining: 46261 mWh | Voltage: 12394 mV
[2025-06-16 16:39:56] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12406 mV
[2025-06-16 16:40:01] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12406 mV
[2025-06-16 16:40:06] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12406 mV
[2025-06-16 16:40:11] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12406 mV
[2025-06-16 16:40:16] Discharging | Rate: 0 mW | Remaining: 46204 mWh | Voltage: 12406 mV
[2025-06-16 16:40:21] Charging | Rate: 11 mW | Remaining: 46147 mWh | Voltage: 12485 mV
[2025-06-16 16:40:26] Charging | Rate: 11 mW | Remaining: 46147 mWh | Voltage: 12485 mV
[2025-06-16 16:40:32] Charging | Rate: 11 mW | Remaining: 46147 mWh | Voltage: 12485 mV
[2025-06-16 16:40:37] Charging | Rate: 11 mW | Remaining: 46147 mWh | Voltage: 12485 mV
[2025-06-16 16:40:42] Charging | Rate: 11 mW | Remaining: 46147 mWh | Voltage: 12485 mV
[2025-06-16 16:40:47] Charging | Rate: 11 mW | Remaining: 46147 mWh | Voltage: 12485 mV
[2025-06-16 16:40:52] Charging | Rate: 4868 mW | Remaining: 46170 mWh | Voltage: 12658 mV
[2025-06-16 16:40:57] Charging | Rate: 6509 mW | Remaining: 46181 mWh | Voltage: 12661 mV
[2025-06-16 16:41:02] Charging | Rate: 6509 mW | Remaining: 46181 mWh | Voltage: 12661 mV
[2025-06-16 16:41:07] Charging | Rate: 6509 mW | Remaining: 46181 mWh | Voltage: 12661 mV
[2025-06-16 16:41:12] Charging | Rate: 6509 mW | Remaining: 46181 mWh | Voltage: 12661 mV
[2025-06-16 16:41:17] Charging | Rate: 8174 mW | Remaining: 46227 mWh | Voltage: 12666 mV
[2025-06-16 16:41:22] Charging | Rate: 8174 mW | Remaining: 46227 mWh | Voltage: 12666 mV
[2025-06-16 16:41:27] Charging | Rate: 8174 mW | Remaining: 46227 mWh | Voltage: 12666 mV
[2025-06-16 16:41:32] Charging | Rate: 8174 mW | Remaining: 46227 mWh | Voltage: 12666 mV
[2025-06-16 16:41:37] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:41:42] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:41:47] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:41:52] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:41:57] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:02] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:07] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:12] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:17] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:22] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:28] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:33] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:38] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:43] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:48] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:53] Charging | Rate: 7022 mW | Remaining: 46273 mWh | Voltage: 12671 mV
[2025-06-16 16:42:58] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:03] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:08] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:13] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:18] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:23] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:28] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:33] Charging | Rate: 5939 mW | Remaining: 46421 mWh | Voltage: 12660 mV
[2025-06-16 16:43:38] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:43:43] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:43:48] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:43:53] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:43:58] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:44:03] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:44:08] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:44:13] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:44:18] Charging | Rate: 5609 mW | Remaining: 46478 mWh | Voltage: 12679 mV
[2025-06-16 16:44:23] Discharging | Rate: 0 mW | Remaining: 46512 mWh | Voltage: 12577 mV
[2025-06-16 16:44:28] Discharging | Rate: 0 mW | Remaining: 46523 mWh | Voltage: 12678 mV
[2025-06-16 16:44:33] Discharging | Rate: 0 mW | Remaining: 46535 mWh | Voltage: 12673 mV
[2025-06-16 16:44:38] Charging | Rate: 1391 mW | Remaining: 46535 mWh | Voltage: 12678 mV
[2025-06-16 16:44:43] Charging | Rate: 4309 mW | Remaining: 46535 mWh | Voltage: 12678 mV
[2025-06-16 16:44:48] Charging | Rate: 4309 mW | Remaining: 46535 mWh | Voltage: 12678 mV
[2025-06-16 16:44:53] Charging | Rate: 4309 mW | Remaining: 46535 mWh | Voltage: 12678 mV
[2025-06-16 16:44:59] Charging | Rate: 4902 mW | Remaining: 46558 mWh | Voltage: 12682 mV
[2025-06-16 16:45:04] Charging | Rate: 4902 mW | Remaining: 46558 mWh | Voltage: 12682 mV
[2025-06-16 16:45:09] Charging | Rate: 5005 mW | Remaining: 46569 mWh | Voltage: 12683 mV
[2025-06-16 16:45:14] Charging | Rate: 5005 mW | Remaining: 46569 mWh | Voltage: 12683 mV
[2025-06-16 16:45:19] Charging | Rate: 5005 mW | Remaining: 46569 mWh | Voltage: 12683 mV
[2025-06-16 16:45:24] Charging | Rate: 5005 mW | Remaining: 46569 mWh | Voltage: 12683 mV
[2025-06-16 16:45:29] Charging | Rate: 5005 mW | Remaining: 46569 mWh | Voltage: 12683 mV
[2025-06-16 16:45:34] Charging | Rate: 5005 mW | Remaining: 46569 mWh | Voltage: 12683 mV
[2025-06-16 16:45:39] Charging | Rate: 4811 mW | Remaining: 46615 mWh | Voltage: 12684 mV
[2025-06-16 16:45:44] Charging | Rate: 4811 mW | Remaining: 46615 mWh | Voltage: 12684 mV
[2025-06-16 16:45:49] Charging | Rate: 4811 mW | Remaining: 46615 mWh | Voltage: 12684 mV
[2025-06-16 16:45:54] Charging | Rate: 4811 mW | Remaining: 46615 mWh | Voltage: 12684 mV
[2025-06-16 16:45:59] Charging | Rate: 4811 mW | Remaining: 46615 mWh | Voltage: 12684 mV
[2025-06-16 16:46:04] Charging | Rate: 4811 mW | Remaining: 46615 mWh | Voltage: 12684 mV
[2025-06-16 16:46:09] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:14] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:19] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:24] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:29] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:34] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:39] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:44] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:49] Charging | Rate: 3135 mW | Remaining: 46649 mWh | Voltage: 12686 mV
[2025-06-16 16:46:54] Charging | Rate: 4332 mW | Remaining: 46706 mWh | Voltage: 12651 mV
[2025-06-16 16:46:59] Charging | Rate: 2918 mW | Remaining: 46706 mWh | Voltage: 12684 mV
[2025-06-16 16:47:04] Charging | Rate: 2918 mW | Remaining: 46706 mWh | Voltage: 12684 mV
[2025-06-16 16:47:09] Charging | Rate: 2918 mW | Remaining: 46706 mWh | Voltage: 12684 mV
[2025-06-16 16:47:14] Charging | Rate: 2918 mW | Remaining: 46706 mWh | Voltage: 12684 mV
[2025-06-16 16:47:20] Charging | Rate: 3830 mW | Remaining: 46717 mWh | Voltage: 12686 mV
[2025-06-16 16:47:25] Charging | Rate: 3830 mW | Remaining: 46717 mWh | Voltage: 12686 mV
[2025-06-16 16:47:30] Charging | Rate: 3830 mW | Remaining: 46717 mWh | Voltage: 12686 mV
[2025-06-16 16:47:35] Charging | Rate: 3830 mW | Remaining: 46717 mWh | Voltage: 12686 mV
[2025-06-16 16:47:40] Charging | Rate: 4172 mW | Remaining: 46763 mWh | Voltage: 12688 mV
[2025-06-16 16:47:45] Charging | Rate: 4172 mW | Remaining: 46763 mWh | Voltage: 12688 mV
[2025-06-16 16:47:50] Charging | Rate: 4172 mW | Remaining: 46763 mWh | Voltage: 12688 mV
[2025-06-16 16:47:55] Charging | Rate: 4172 mW | Remaining: 46763 mWh | Voltage: 12688 mV
[2025-06-16 16:48:00] Charging | Rate: 3830 mW | Remaining: 46786 mWh | Voltage: 12683 mV
[2025-06-16 16:48:05] Charging | Rate: 3830 mW | Remaining: 46786 mWh | Voltage: 12683 mV
[2025-06-16 16:48:10] Charging | Rate: 3830 mW | Remaining: 46786 mWh | Voltage: 12683 mV
[2025-06-16 16:48:15] Charging | Rate: 3830 mW | Remaining: 46786 mWh | Voltage: 12683 mV
[2025-06-16 16:48:20] Charging | Rate: 2029 mW | Remaining: 46797 mWh | Voltage: 12641 mV
[2025-06-16 16:48:25] Charging | Rate: 2029 mW | Remaining: 46797 mWh | Voltage: 12641 mV
[2025-06-16 16:48:30] Charging | Rate: 2029 mW | Remaining: 46797 mWh | Voltage: 12641 mV
[2025-06-16 16:48:35] Charging | Rate: 2029 mW | Remaining: 46797 mWh | Voltage: 12641 mV
[2025-06-16 16:48:40] Charging | Rate: 2964 mW | Remaining: 46820 mWh | Voltage: 12686 mV
[2025-06-16 16:48:45] Charging | Rate: 2964 mW | Remaining: 46820 mWh | Voltage: 12686 mV
[2025-06-16 16:48:50] Charging | Rate: 2964 mW | Remaining: 46820 mWh | Voltage: 12686 mV
[2025-06-16 16:48:55] Charging | Rate: 148 mW | Remaining: 46820 mWh | Voltage: 12500 mV
[2025-06-16 16:49:00] Discharging | Rate: 0 mW | Remaining: 46820 mWh | Voltage: 12687 mV
[2025-06-16 16:49:05] Discharging | Rate: 0 mW | Remaining: 46820 mWh | Voltage: 12688 mV
[2025-06-16 16:49:10] Charging | Rate: 114 mW | Remaining: 46831 mWh | Voltage: 12686 mV
[2025-06-16 16:49:15] Charging | Rate: 4400 mW | Remaining: 46831 mWh | Voltage: 12687 mV
[2025-06-16 16:49:20] Charging | Rate: 4400 mW | Remaining: 46831 mWh | Voltage: 12687 mV
[2025-06-16 16:49:25] Charging | Rate: 4400 mW | Remaining: 46831 mWh | Voltage: 12687 mV
[2025-06-16 16:49:30] Charging | Rate: 4400 mW | Remaining: 46831 mWh | Voltage: 12687 mV
[2025-06-16 16:49:35] Charging | Rate: 3956 mW | Remaining: 46865 mWh | Voltage: 12689 mV
[2025-06-16 16:49:41] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:49:46] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:49:51] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:49:56] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:01] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:06] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:11] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:16] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:21] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:26] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:31] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:36] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:41] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:46] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:51] Charging | Rate: 3944 mW | Remaining: 46865 mWh | Voltage: 12678 mV
[2025-06-16 16:50:57] Charging | Rate: 3568 mW | Remaining: 46934 mWh | Voltage: 12694 mV
[2025-06-16 16:51:02] Charging | Rate: 3534 mW | Remaining: 46945 mWh | Voltage: 12692 mV
[2025-06-16 16:51:07] Charging | Rate: 3534 mW | Remaining: 46945 mWh | Voltage: 12692 mV
[2025-06-16 16:51:12] Charging | Rate: 3534 mW | Remaining: 46945 mWh | Voltage: 12692 mV
[2025-06-16 16:51:17] Charging | Rate: 3534 mW | Remaining: 46945 mWh | Voltage: 12692 mV
[2025-06-16 16:51:22] Charging | Rate: 3534 mW | Remaining: 46945 mWh | Voltage: 12692 mV
[2025-06-16 16:51:27] Charging | Rate: 3534 mW | Remaining: 46945 mWh | Voltage: 12692 mV
[2025-06-16 16:51:32] Charging | Rate: 3534 mW | Remaining: 46945 mWh | Voltage: 12692 mV
[2025-06-16 16:51:37] Charging | Rate: 2303 mW | Remaining: 46979 mWh | Voltage: 12695 mV
[2025-06-16 16:51:42] Charging | Rate: 2303 mW | Remaining: 46979 mWh | Voltage: 12695 mV
[2025-06-16 16:51:47] Charging | Rate: 2303 mW | Remaining: 46979 mWh | Voltage: 12695 mV
[2025-06-16 16:51:52] Discharging | Rate: 0 mW | Remaining: 46991 mWh | Voltage: 12651 mV
[2025-06-16 16:51:57] Discharging | Rate: 0 mW | Remaining: 46957 mWh | Voltage: 12083 mV
[2025-06-16 16:52:02] Discharging | Rate: 0 mW | Remaining: 46957 mWh | Voltage: 12083 mV
[2025-06-16 16:52:07] Discharging | Rate: 0 mW | Remaining: 46957 mWh | Voltage: 12083 mV
[2025-06-16 16:52:12] Discharging | Rate: 0 mW | Remaining: 46957 mWh | Voltage: 12083 mV
[2025-06-16 16:52:17] Discharging | Rate: 0 mW | Remaining: 46888 mWh | Voltage: 12411 mV
[2025-06-16 16:52:22] Discharging | Rate: 0 mW | Remaining: 46877 mWh | Voltage: 12448 mV
